case_id,open_date,close_date,days_to_close,severity,product_area,issue_type,complexity,effort_level,escalation_flag,reopen_flag,agent_type,lifecycle_stage_touched,handoff_time_hours,num_actions,automation_success,first_response_time_hours,resolution_accuracy,csat_score,sla_target_days,sla_met,repeat_contact_flag,kb_article_used,kb_coverage_score,engineer_workload,queue_depth
CASE-100287,2024-01-28T03:00:00.000Z,2024-02-11T07:57:53.178Z,14.21,Sev-D,Collaboration,How-To,Medium,Low,false,false,Blended,Creation,1.9,4,true,0.2,0.88,2.7,18,true,false,true,0.74,13,52
CASE-100288,2024-04-29T06:00:00.000Z,2024-05-02T09:20:50.228Z,3.14,Sev-A,Security,Configuration,Low,Medium,false,false,Knowledge,Creation,2.9,4,true,2.5,0.9,4.4,5,true,false,true,0.66,23,19
CASE-100289,2024-08-19T14:00:00.000Z,2024-09-13T10:54:08.171Z,24.87,Sev-C,Compute,Bug,High,High,false,false,None,,,2,,5.7,0.98,3.4,12,false,false,true,0.78,23,18
CASE-100290,2024-03-24T13:00:00.000Z,2024-04-21T10:27:25.648Z,27.89,Sev-D,Security,Feature Gap,High,Medium,false,false,None,,,2,,4.5,0.94,3.5,18,false,false,true,0.81,9,15
CASE-100291,2024-05-13T01:00:00.000Z,2024-05-31T06:09:47.436Z,18.22,Sev-D,Identity,How-To,Medium,Medium,false,false,Routing,Closure,8,5,false,1.9,0.7,3.2,18,false,true,true,0.76,12,78
CASE-100292,2025-04-29T13:00:00.000Z,2025-05-22T21:39:11.788Z,23.36,Sev-D,Collaboration,How-To,Low,High,false,false,CaseHealth,Closure,7.6,4,false,5.8,0.8,4.4,18,false,false,true,0.96,20,30
CASE-100293,2024-08-13T19:00:00.000Z,2024-08-25T10:39:02.892Z,11.65,Sev-B,Networking,Bug,High,Medium,false,false,Blended,Scoping/Troubleshooting,10.8,7,true,3.1,0.81,3.4,8,false,false,true,0.97,4,18
CASE-100294,2024-02-27T07:00:00.000Z,2024-03-02T18:46:42.201Z,4.49,Sev-A,Data Platform,Outage,Medium,Low,false,false,None,,,2,,9,0.92,3.5,5,true,false,false,0.34,14,27
CASE-100295,2024-08-19T13:00:00.000Z,2024-08-31T07:01:23.166Z,11.75,Sev-B,Identity,Outage,High,Low,false,false,CaseHealth,Creation,2.2,5,true,5,0.88,4.9,8,false,false,false,0.45,7,8
CASE-100296,2024-09-30T03:00:00.000Z,2024-10-13T18:59:38.183Z,13.67,Sev-B,Identity,Bug,High,Low,false,false,CaseHealth,Closure,4.1,4,true,1.4,0.94,3.2,8,false,false,false,0.18,6,59
CASE-100297,2025-01-24T06:00:00.000Z,2025-02-04T16:19:56.421Z,11.43,Sev-C,Collaboration,Feature Gap,Medium,Low,false,false,Routing,Closure,1.2,5,true,1,0.87,4.5,12,true,false,true,0.74,15,76
CASE-100298,2024-10-14T13:00:00.000Z,2024-11-08T05:17:44.295Z,24.68,Sev-D,Compute,Feature Gap,Medium,High,false,false,None,,,2,,10.1,0.9,2.5,18,false,false,false,0.52,23,76
CASE-100299,2025-02-21T20:00:00.000Z,2025-02-28T04:41:55.665Z,6.36,Sev-B,Storage,Bug,Medium,Low,false,false,CaseHealth,Scoping/Troubleshooting,5.7,7,true,4.2,1,4.2,8,true,false,false,0.26,22,74
CASE-100300,2024-10-01T03:00:00.000Z,2024-10-13T15:50:59.723Z,12.54,Sev-B,Identity,How-To,Medium,Low,false,false,None,,,3,,6.7,0.63,3.1,8,false,false,true,0.73,11,78
CASE-100301,2024-04-14T03:00:00.000Z,2024-04-14T15:00:00.000Z,0.5,Sev-A,Collaboration,Outage,Low,Low,false,false,Blended,Scoping/Troubleshooting,7.8,7,true,6.6,0.95,5,5,true,false,false,0.51,17,31
CASE-100302,2024-07-28T14:00:00.000Z,2024-08-16T11:22:21.031Z,18.89,Sev-C,Security,Outage,Low,High,false,false,None,,,1,,7.7,0.84,3.5,12,false,false,false,0.61,10,47
CASE-100303,2024-11-06T06:00:00.000Z,2024-11-17T06:24:37.217Z,11.02,Sev-A,Security,Outage,High,Low,false,false,CaseHealth,Scoping/Troubleshooting,1.3,8,true,4.3,0.75,4.5,5,false,false,true,0.66,6,14
CASE-100304,2024-09-16T19:00:00.000Z,2024-09-21T06:53:57.441Z,4.5,Sev-C,Compute,Performance,Low,Low,false,false,Blended,Scoping/Troubleshooting,8.1,3,true,3.7,0.96,4.7,12,true,false,true,0.75,5,40
CASE-100305,2024-01-20T22:00:00.000Z,2024-02-13T01:17:58.114Z,23.14,Sev-C,Identity,Performance,Medium,High,false,true,Routing,Creation,1.9,2,false,7.3,0.79,3.8,12,false,false,false,0.51,5,65
CASE-100306,2025-02-18T18:00:00.000Z,2025-02-19T06:00:00.000Z,0.5,Sev-A,Collaboration,Feature Gap,Low,Low,false,false,Scoping,Scoping/Troubleshooting,7,6,false,5.7,0.85,3.5,5,true,false,false,0.71,6,25
CASE-100307,2025-03-09T09:00:00.000Z,2025-03-20T08:11:01.912Z,10.97,Sev-C,Identity,Configuration,Low,Low,false,false,None,,,3,,9.6,0.86,4.3,12,true,false,false,0.33,23,68
CASE-100308,2025-02-09T07:00:00.000Z,2025-02-25T16:34:25.912Z,16.4,Sev-D,Networking,How-To,High,Low,false,false,Blended,Creation,3.5,3,true,2.2,0.98,4.8,18,true,false,true,1,24,27
CASE-100309,2024-11-10T17:00:00.000Z,2024-11-25T15:20:01.931Z,14.93,Sev-D,Data Platform,How-To,Low,Medium,false,false,Scoping,Closure,0.4,2,true,4.4,0.86,3.9,18,true,false,false,0.51,6,26
CASE-100310,2025-05-14T02:00:00.000Z,2025-05-19T13:04:52.829Z,5.46,Sev-B,Identity,Configuration,Low,Low,true,true,Routing,Creation,3.8,5,false,3.9,0.82,3.4,8,true,false,true,0.66,8,36
CASE-100311,2024-10-02T18:00:00.000Z,2024-10-16T05:49:57.091Z,13.49,Sev-B,Networking,Outage,Medium,High,false,false,Scoping,Creation,4.7,3,false,4.2,0.76,3.3,8,false,false,true,0.56,3,57
CASE-100312,2025-01-05T23:00:00.000Z,2025-01-22T00:14:47.168Z,16.05,Sev-C,Data Platform,Outage,Medium,Medium,false,false,Routing,Creation,3.7,8,false,3.6,0.6,3.9,12,false,false,false,0.49,11,56
CASE-100313,2024-01-04T20:00:00.000Z,2024-01-14T05:13:23.232Z,9.38,Sev-B,Security,Feature Gap,Medium,Medium,false,false,Scoping,Creation,11,5,true,4.8,0.85,4.3,8,false,false,true,0.9,18,21
CASE-100314,2024-12-22T02:00:00.000Z,2025-01-11T19:37:50.026Z,20.73,Sev-D,Data Platform,How-To,High,Low,false,false,None,,,3,,5.9,0.89,2.8,18,false,false,false,0.33,20,60
CASE-100315,2024-07-21T01:00:00.000Z,2024-08-13T01:48:01.407Z,23.03,Sev-D,Data Platform,Feature Gap,High,Medium,false,false,None,,,3,,6.8,0.76,1.7,18,false,false,false,0.36,23,18
CASE-100316,2025-02-09T14:00:00.000Z,2025-02-18T11:36:34.213Z,8.9,Sev-C,Networking,Bug,Low,Low,false,false,Routing,Closure,0.8,3,true,2,0.88,4.5,12,true,false,false,0.32,7,11
CASE-100317,2024-11-10T04:00:00.000Z,2024-11-26T08:28:08.605Z,16.19,Sev-C,Compute,Bug,Medium,High,false,false,Knowledge,Scoping/Troubleshooting,4.1,8,true,1.3,0.82,3.6,12,false,false,true,0.9,12,17
CASE-100318,2024-01-14T16:00:00.000Z,2024-01-31T19:27:40.206Z,17.14,Sev-C,Security,Feature Gap,Medium,Medium,false,false,CaseHealth,Scoping/Troubleshooting,8.1,7,true,4.5,0.78,4.5,12,false,false,true,0.79,22,61
CASE-100319,2024-04-18T12:00:00.000Z,2024-04-22T19:35:21.632Z,4.32,Sev-A,Storage,Feature Gap,Medium,Low,false,false,Knowledge,Creation,8.4,6,false,3.4,0.77,3.6,5,true,false,true,0.71,9,40
CASE-100320,2025-04-16T03:00:00.000Z,2025-04-21T21:42:10.791Z,5.78,Sev-C,Data Platform,Feature Gap,Medium,Low,false,false,Blended,Creation,3.2,3,true,4.8,0.9,3.8,12,true,true,true,0.94,24,13
CASE-100321,2025-05-11T00:00:00.000Z,2025-05-17T05:04:54.393Z,6.21,Sev-B,Networking,How-To,Medium,Low,false,false,Routing,Scoping/Troubleshooting,9.7,3,true,3.8,0.82,3.3,8,true,false,false,0.57,5,51
CASE-100322,2025-03-26T12:00:00.000Z,2025-04-13T10:27:33.047Z,17.94,Sev-A,Identity,Performance,High,High,false,false,Knowledge,Scoping/Troubleshooting,3.6,7,true,3.1,0.87,4,5,false,false,false,0.52,14,15
CASE-100323,2025-04-14T15:00:00.000Z,2025-04-20T21:45:26.165Z,6.28,Sev-B,Security,Configuration,Low,Medium,false,false,None,,,1,,8.7,0.82,4.3,8,true,false,false,0.31,10,19
CASE-100324,2024-02-12T11:00:00.000Z,2024-03-10T23:17:17.662Z,27.51,Sev-C,Storage,Feature Gap,High,High,false,false,None,,,1,,8.7,1,3.2,12,false,false,false,0.47,19,20
CASE-100325,2025-03-02T07:00:00.000Z,2025-03-23T22:20:31.124Z,21.64,Sev-D,Security,Bug,Low,High,false,false,Scoping,Creation,14.3,7,true,5.8,1,4,18,false,true,true,0.71,6,26
CASE-100326,2025-02-24T04:00:00.000Z,2025-03-12T03:28:09.826Z,15.98,Sev-C,Networking,Configuration,High,Low,true,false,None,,,3,,6.6,0.75,4,12,false,false,false,0.15,6,61
CASE-100327,2024-11-25T07:00:00.000Z,2024-12-02T00:50:04.549Z,6.74,Sev-C,Security,Outage,Low,Low,false,false,Blended,Creation,8.8,6,true,6.2,0.89,5,12,true,false,true,0.45,3,16
CASE-100328,2025-05-07T18:00:00.000Z,2025-05-27T17:36:16.306Z,19.98,Sev-D,Storage,Feature Gap,Medium,Medium,false,false,Routing,Closure,3.6,3,true,2.2,0.86,3.4,18,false,false,true,0.59,18,75
CASE-100329,2024-11-29T02:00:00.000Z,2024-12-15T16:07:32.226Z,16.59,Sev-C,Security,How-To,Low,Medium,false,false,None,,,1,,5.9,0.87,3.7,12,false,false,false,0.27,14,15
CASE-100330,2024-12-22T09:00:00.000Z,2025-01-09T07:58:59.873Z,17.96,Sev-B,Storage,Bug,Medium,High,false,false,Routing,Closure,4.9,3,true,5.4,0.91,3.9,8,false,false,true,0.78,24,21
CASE-100331,2024-12-12T15:00:00.000Z,2025-01-07T04:23:40.691Z,25.56,Sev-D,Security,Outage,Medium,High,false,false,None,,,2,,7.8,0.96,2.4,18,false,false,false,0.61,20,8
CASE-100332,2024-02-26T18:00:00.000Z,2024-03-10T04:05:52.190Z,12.42,Sev-B,Data Platform,Performance,Medium,Low,true,false,None,,,2,,4.4,0.96,3,8,false,false,true,0.54,9,21
CASE-100333,2025-02-22T08:00:00.000Z,2025-02-22T20:00:00.000Z,0.5,Sev-A,Collaboration,Performance,Low,Low,false,false,Knowledge,Scoping/Troubleshooting,2.4,6,true,4.7,0.72,4.6,5,true,false,true,0.71,4,57
CASE-100334,2024-01-18T22:00:00.000Z,2024-01-25T18:27:53.675Z,6.85,Sev-B,Security,How-To,Medium,Medium,false,false,Scoping,Scoping/Troubleshooting,4.3,8,true,5.2,0.88,4.3,8,true,false,true,0.65,4,79
CASE-100335,2025-03-19T17:00:00.000Z,2025-04-11T09:06:08.583Z,22.67,Sev-C,Collaboration,Bug,High,Medium,false,false,None,,,2,,8.4,0.92,3.1,12,false,false,false,0.44,24,39
CASE-100336,2024-09-30T04:00:00.000Z,2024-10-15T03:23:27.207Z,14.97,Sev-C,Security,Feature Gap,Medium,Low,false,false,None,,,3,,5.3,1,2.3,12,false,false,false,0.52,24,36
CASE-100337,2024-05-21T09:00:00.000Z,2024-06-04T18:18:54.902Z,14.39,Sev-C,Data Platform,How-To,Medium,Medium,false,true,Knowledge,Creation,2.8,3,true,6.5,1,4,12,false,false,true,0.81,12,30
CASE-100338,2024-08-06T08:00:00.000Z,2024-08-20T14:28:39.453Z,14.27,Sev-C,Security,How-To,Medium,Low,false,false,None,,,1,,8.3,0.87,4.4,12,false,false,false,0.16,23,40
CASE-100339,2024-02-01T19:00:00.000Z,2024-02-10T05:54:53.921Z,8.45,Sev-B,Security,Outage,Low,High,false,false,Knowledge,Creation,3.4,4,true,3.3,0.76,3.2,8,false,false,true,0.44,22,9
CASE-100340,2025-01-26T17:00:00.000Z,2025-02-17T08:10:08.757Z,21.63,Sev-D,Collaboration,Feature Gap,High,Low,false,false,Knowledge,Scoping/Troubleshooting,5.9,7,true,4.5,0.89,4.5,18,false,false,true,0.62,19,49
CASE-100341,2024-01-25T04:00:00.000Z,2024-02-04T15:50:36.825Z,10.49,Sev-C,Identity,Feature Gap,Low,Medium,false,false,Routing,Closure,7.3,7,false,4.7,0.8,3,12,true,false,true,0.74,20,10
CASE-100342,2024-03-03T23:00:00.000Z,2024-03-15T21:51:27.083Z,11.95,Sev-C,Collaboration,Configuration,Medium,Low,false,false,Routing,Scoping/Troubleshooting,1.8,4,true,5.9,0.93,4.4,12,true,false,false,0.29,20,68
CASE-100343,2025-03-31T21:00:00.000Z,2025-04-07T02:22:45.069Z,6.22,Sev-B,Compute,Performance,Low,Medium,false,true,Blended,Creation,4.1,2,true,5.3,0.81,3.3,8,true,false,false,0.4,9,67
CASE-100344,2025-04-12T19:00:00.000Z,2025-05-03T23:28:41.906Z,21.19,Sev-C,Data Platform,Feature Gap,High,Medium,false,false,None,,,2,,5.8,0.91,4.1,12,false,false,true,0.66,17,48
CASE-100345,2024-09-08T16:00:00.000Z,2024-09-15T09:16:40.913Z,6.72,Sev-A,Collaboration,Performance,Medium,Low,false,false,None,,,2,,4.8,0.94,3.1,5,false,false,true,0.84,18,44
CASE-100346,2025-01-28T04:00:00.000Z,2025-01-29T21:30:27.613Z,1.73,Sev-B,Collaboration,Feature Gap,Low,Low,false,false,Knowledge,Closure,5.1,3,true,7.6,0.89,4.3,8,true,false,false,0.54,13,49
CASE-100347,2024-06-24T20:00:00.000Z,2024-07-09T05:13:50.850Z,14.38,Sev-D,Identity,How-To,Medium,Low,false,false,CaseHealth,Creation,7.4,2,true,6.2,0.86,5,18,true,false,false,0.51,5,52
CASE-100348,2024-06-09T01:00:00.000Z,2024-06-20T03:41:22.616Z,11.11,Sev-B,Identity,Feature Gap,Low,High,false,false,Knowledge,Creation,12.8,4,false,6.5,0.76,3.1,8,false,false,true,0.96,24,15
CASE-100349,2024-10-09T22:00:00.000Z,2024-10-29T16:03:11.833Z,19.75,Sev-D,Security,Feature Gap,Medium,Medium,false,false,CaseHealth,Closure,3.2,7,true,0.2,0.98,4.2,18,false,false,false,0.19,4,52
CASE-100350,2024-03-04T21:00:00.000Z,2024-03-15T02:13:12.470Z,10.22,Sev-A,Security,Bug,Medium,High,false,false,Blended,Creation,7,4,true,4.1,0.87,4.2,5,false,true,true,0.99,23,49
CASE-100351,2025-02-11T12:00:00.000Z,2025-02-26T15:51:53.197Z,15.16,Sev-B,Networking,Configuration,Medium,High,false,false,Scoping,Scoping/Troubleshooting,9.1,2,true,3.9,0.92,3.5,8,false,false,true,0.99,24,65
CASE-100352,2024-06-21T11:00:00.000Z,2024-07-05T22:39:26.103Z,14.49,Sev-C,Compute,How-To,Medium,Low,false,false,Routing,Creation,10,8,true,3.7,0.84,3.8,12,false,false,false,0.31,4,67
CASE-100353,2025-03-23T17:00:00.000Z,2025-04-07T22:59:19.185Z,15.25,Sev-D,Storage,How-To,Low,Medium,false,false,Routing,Creation,2.6,8,true,0.6,0.85,4,18,true,false,false,0.69,4,30
CASE-100354,2024-11-26T16:00:00.000Z,2024-12-21T12:58:48.918Z,24.87,Sev-D,Data Platform,Outage,Medium,High,true,false,Scoping,Closure,7.4,2,true,2.9,0.93,4.1,18,false,false,false,0.47,14,63
CASE-100355,2024-03-05T04:00:00.000Z,2024-03-24T05:25:39.369Z,19.06,Sev-D,Networking,Performance,Medium,Medium,false,false,Knowledge,Creation,5.4,4,true,2.8,0.88,3.8,18,false,true,false,0.53,21,65
CASE-100356,2024-01-20T17:00:00.000Z,2024-01-26T01:34:17.404Z,5.36,Sev-B,Compute,Outage,Low,Medium,false,true,Knowledge,Creation,11.8,5,true,6.1,0.81,4.5,8,true,false,false,0.59,9,8
CASE-100357,2024-03-18T02:00:00.000Z,2024-03-30T18:44:16.254Z,12.7,Sev-C,Data Platform,Configuration,Medium,Low,false,false,Blended,Scoping/Troubleshooting,10.5,4,true,2.7,0.85,4.8,12,false,false,false,0.72,16,40
CASE-100358,2024-09-05T09:00:00.000Z,2024-09-15T20:13:13.021Z,10.47,Sev-D,Security,Performance,Low,Low,false,false,Scoping,Scoping/Troubleshooting,7.8,7,true,3.4,0.81,5,18,true,false,true,0.74,16,62
CASE-100359,2024-02-14T02:00:00.000Z,2024-03-02T14:49:35.953Z,17.53,Sev-C,Collaboration,How-To,High,Low,true,false,CaseHealth,Scoping/Troubleshooting,8.4,5,true,3.2,0.92,4.1,12,false,false,false,0.25,5,66
CASE-100360,2024-08-20T11:00:00.000Z,2024-09-10T15:28:19.451Z,21.19,Sev-C,Security,Outage,High,Medium,false,false,None,,,3,,4.1,0.84,3.4,12,false,false,true,0.9,22,67
CASE-100361,2024-05-23T08:00:00.000Z,2024-06-10T05:48:37.056Z,17.91,Sev-B,Data Platform,Feature Gap,Medium,High,false,false,None,,,1,,8.6,0.6,3.8,8,false,true,false,0.19,22,57
CASE-100362,2024-04-20T03:00:00.000Z,2024-05-02T10:02:01.338Z,12.29,Sev-A,Storage,Bug,High,Low,false,false,None,,,1,,6.5,0.64,4.2,5,false,false,false,0.42,11,22
CASE-100363,2024-06-28T07:00:00.000Z,2024-07-12T04:44:15.566Z,13.91,Sev-C,Collaboration,How-To,Medium,Low,false,false,Routing,Creation,5.7,7,true,3.8,0.94,3.5,12,false,false,false,0.32,13,72
CASE-100364,2024-08-12T16:00:00.000Z,2024-08-23T00:54:17.311Z,10.37,Sev-C,Collaboration,Outage,Medium,Low,false,false,Routing,Creation,2.4,3,true,3.9,0.83,4.1,12,true,false,false,0.51,13,24
CASE-100365,2024-11-19T23:00:00.000Z,2024-12-10T00:40:56.917Z,20.07,Sev-C,Identity,How-To,High,Low,false,false,None,,,1,,7.2,0.84,3.9,12,false,false,true,0.73,5,8
CASE-100366,2024-12-17T11:00:00.000Z,2024-12-29T19:22:52.286Z,12.35,Sev-C,Data Platform,Performance,Medium,High,false,false,Blended,Closure,5.7,6,true,0.5,1,4.4,12,false,false,false,0.27,10,76
CASE-100367,2025-04-17T01:00:00.000Z,2025-05-03T20:52:30.621Z,16.83,Sev-B,Storage,Bug,Medium,High,false,false,Knowledge,Creation,11,3,true,4.9,0.95,4,8,false,false,true,0.78,19,43
CASE-100368,2025-01-12T06:00:00.000Z,2025-01-19T16:16:23.170Z,7.43,Sev-B,Collaboration,How-To,Medium,Medium,false,false,Knowledge,Closure,6.5,6,true,2.8,0.95,4.3,8,true,false,true,0.73,10,75
CASE-100369,2025-02-12T20:00:00.000Z,2025-03-01T05:05:50.117Z,16.38,Sev-B,Compute,Configuration,Medium,High,false,false,Scoping,Scoping/Troubleshooting,9.5,8,true,2.5,1,4.8,8,false,false,false,0.23,8,20
CASE-100370,2024-01-04T05:00:00.000Z,2024-01-12T19:10:16.736Z,8.59,Sev-C,Data Platform,Feature Gap,Low,Low,false,false,Scoping,Scoping/Troubleshooting,5.1,5,true,4.6,1,4.3,12,true,false,false,0.43,15,64
CASE-100371,2024-08-23T21:00:00.000Z,2024-09-18T10:26:23.050Z,25.56,Sev-C,Data Platform,Outage,High,High,false,false,Knowledge,Closure,9,5,true,0.4,0.95,3.9,12,false,false,true,0.61,7,19
CASE-100372,2024-08-13T00:00:00.000Z,2024-09-06T14:22:56.329Z,24.6,Sev-D,Data Platform,How-To,High,Medium,false,false,Knowledge,Scoping/Troubleshooting,0.3,6,true,3.3,0.89,4.9,18,false,false,true,0.56,24,54
CASE-100373,2024-05-04T09:00:00.000Z,2024-05-20T21:26:41.042Z,16.52,Sev-B,Networking,Outage,High,High,false,false,Blended,Scoping/Troubleshooting,12.1,5,true,6,0.92,3.6,8,false,false,false,0.28,22,29
CASE-100374,2024-11-08T13:00:00.000Z,2024-12-04T07:40:02.318Z,25.78,Sev-C,Collaboration,Outage,High,Medium,false,false,None,,,1,,4.7,0.78,3.4,12,false,false,false,0.25,20,20
CASE-100375,2024-10-15T23:00:00.000Z,2024-10-29T14:59:23.603Z,13.67,Sev-B,Security,Performance,High,Low,true,false,Routing,Scoping/Troubleshooting,8.1,4,true,4.9,0.89,3.8,8,false,false,true,1,20,47
CASE-100376,2024-12-01T05:00:00.000Z,2024-12-18T02:04:22.320Z,16.88,Sev-C,Collaboration,Bug,Medium,High,false,false,Scoping,Creation,6.3,3,true,1.3,0.93,4.5,12,false,false,false,0.38,23,73
CASE-100377,2024-08-29T17:00:00.000Z,2024-09-14T15:54:39.600Z,15.95,Sev-C,Storage,How-To,Low,High,false,false,None,,,1,,10.3,0.68,3.5,12,false,false,false,0.48,7,55
CASE-100378,2024-09-27T14:00:00.000Z,2024-10-14T15:13:23.972Z,17.05,Sev-C,Collaboration,Outage,Medium,Medium,false,true,Routing,Creation,6.7,5,false,6.6,0.66,3.7,12,false,false,false,0.36,6,71
CASE-100379,2024-03-24T04:00:00.000Z,2024-04-08T01:15:15.628Z,14.89,Sev-B,Networking,Bug,Medium,Medium,false,false,Routing,Scoping/Troubleshooting,6.5,4,true,5.2,1,3.7,8,false,false,true,0.65,14,6
CASE-100380,2024-03-07T11:00:00.000Z,2024-03-18T13:04:32.627Z,11.09,Sev-B,Compute,Feature Gap,Medium,Low,false,false,None,,,3,,6.4,0.95,3.2,8,false,false,true,0.6,9,76
CASE-100381,2024-05-13T01:00:00.000Z,2024-06-05T05:49:36.405Z,23.2,Sev-C,Collaboration,Outage,High,High,true,false,Routing,Creation,14.7,5,true,6.2,0.98,4.5,12,false,false,false,0.24,22,61
CASE-100382,2025-03-16T19:00:00.000Z,2025-04-11T14:43:04.314Z,25.82,Sev-C,Data Platform,Configuration,High,High,true,false,None,,,2,,6.5,0.68,3.2,12,false,false,false,0.49,11,58
CASE-100383,2024-11-14T05:00:00.000Z,2024-11-19T16:48:01.963Z,5.49,Sev-A,Collaboration,Configuration,Low,High,false,false,CaseHealth,Closure,1.4,2,true,3.6,1,3.4,5,false,false,true,0.75,15,47
CASE-100384,2024-12-03T20:00:00.000Z,2024-12-04T20:00:12.300Z,1,Sev-B,Identity,Configuration,Low,Low,false,false,Knowledge,Scoping/Troubleshooting,12.5,3,true,5.7,0.83,3.7,8,true,false,true,0.82,11,45
CASE-100385,2025-04-01T21:00:00.000Z,2025-04-19T20:54:44.008Z,18,Sev-C,Identity,Feature Gap,High,High,false,false,Blended,Closure,1.5,4,true,0.5,1,4.7,12,false,false,false,0.34,21,11
CASE-100386,2024-08-01T20:00:00.000Z,2024-08-25T05:17:26.363Z,23.39,Sev-D,Identity,How-To,High,Low,false,false,Knowledge,Creation,2,8,true,4.6,0.83,4.2,18,false,false,true,0.75,11,59
CASE-100387,2024-06-15T19:00:00.000Z,2024-06-25T22:13:07.321Z,10.13,Sev-C,Storage,Outage,Low,Medium,false,false,Scoping,Scoping/Troubleshooting,4.4,8,true,1.3,0.93,4.6,12,true,false,false,0.38,14,64
CASE-100388,2024-12-17T21:00:00.000Z,2025-01-07T05:17:49.011Z,20.35,Sev-D,Collaboration,Configuration,Medium,Medium,false,false,CaseHealth,Creation,8.2,4,true,3.8,0.82,4.4,18,false,false,false,0.26,10,44
CASE-100389,2024-08-17T07:00:00.000Z,2024-08-26T10:53:27.953Z,9.16,Sev-B,Compute,Bug,Medium,Medium,false,true,Blended,Closure,7.8,7,true,5,0.95,3.9,8,false,false,true,0.64,8,64
CASE-100390,2024-06-13T02:00:00.000Z,2024-06-28T00:50:08.604Z,14.95,Sev-A,Data Platform,Outage,High,Medium,false,true,CaseHealth,Closure,2.1,7,true,5.3,1,4.4,5,false,false,true,0.86,19,54
CASE-100391,2024-08-25T17:00:00.000Z,2024-08-30T20:25:25.407Z,5.14,Sev-A,Networking,Bug,Low,Low,false,false,Routing,Closure,11.5,4,false,2.5,0.89,4.1,5,false,false,false,0.08,7,71
CASE-100392,2024-07-23T19:00:00.000Z,2024-07-31T17:13:04.223Z,7.93,Sev-B,Compute,Feature Gap,Medium,Low,false,true,CaseHealth,Closure,7.5,2,true,4.3,0.83,4.8,8,true,false,false,0.39,21,12
CASE-100393,2024-10-30T16:00:00.000Z,2024-11-06T01:28:34.079Z,6.39,Sev-C,Collaboration,Configuration,Medium,Low,false,false,Blended,Closure,14.2,7,false,3.8,0.85,3.6,12,true,false,true,0.58,11,40
CASE-100394,2025-03-22T18:00:00.000Z,2025-03-30T07:14:22.506Z,7.55,Sev-B,Data Platform,Feature Gap,High,Low,false,false,Blended,Closure,1.4,3,false,4.9,0.71,3.6,8,true,false,false,0.43,22,21
CASE-100395,2024-05-20T21:00:00.000Z,2024-05-29T13:15:08.648Z,8.68,Sev-C,Security,Bug,Low,Low,false,false,None,,,2,,11.6,0.9,3.2,12,true,false,false,0.56,15,43
CASE-100396,2025-02-27T16:00:00.000Z,2025-03-23T19:49:33.000Z,24.16,Sev-C,Identity,How-To,High,High,true,false,Knowledge,Scoping/Troubleshooting,4.4,3,true,1.2,0.86,3.8,12,false,false,true,0.6,24,75
CASE-100397,2024-05-21T04:00:00.000Z,2024-05-25T18:06:14.023Z,4.59,Sev-C,Data Platform,Performance,Low,Low,false,false,Blended,Creation,2.6,4,true,1.8,0.92,3.8,12,true,false,true,0.88,14,46
CASE-100398,2024-12-05T02:00:00.000Z,2024-12-23T09:18:43.020Z,18.3,Sev-C,Security,Bug,High,Medium,false,false,Scoping,Closure,9,7,true,4.2,0.82,4,12,false,false,false,0.43,5,35
CASE-100399,2024-01-03T17:00:00.000Z,2024-01-19T17:35:10.851Z,16.02,Sev-C,Collaboration,Performance,Medium,Low,false,false,None,,,1,,8.1,0.8,3.8,12,false,false,false,0.52,4,12
CASE-100400,2024-02-27T06:00:00.000Z,2024-03-11T18:46:46.908Z,13.53,Sev-D,Networking,Feature Gap,Low,Low,false,false,Scoping,Scoping/Troubleshooting,8.3,2,true,7.6,0.82,4.8,18,true,false,true,0.92,16,24
CASE-100401,2024-12-04T03:00:00.000Z,2024-12-19T11:35:59.396Z,15.36,Sev-A,Compute,Configuration,High,Low,false,true,None,,,3,,7.1,0.84,4.3,5,false,true,false,0.53,15,28
CASE-100402,2024-03-24T06:00:00.000Z,2024-03-26T22:08:41.299Z,2.67,Sev-B,Identity,Outage,Low,Low,false,false,CaseHealth,Creation,3.8,6,true,4.5,0.93,4.4,8,true,false,false,0.29,4,31
CASE-100403,2024-09-03T00:00:00.000Z,2024-09-27T04:54:57.374Z,24.2,Sev-D,Storage,Outage,High,Low,false,false,None,,,2,,10.3,0.93,3,18,false,false,false,0.43,18,44
CASE-100404,2025-01-26T00:00:00.000Z,2025-02-17T06:09:48.834Z,22.26,Sev-C,Networking,Performance,Medium,High,false,false,CaseHealth,Creation,15.8,7,true,5.3,0.83,3.6,12,false,false,true,0.7,8,32
CASE-100405,2024-12-07T01:00:00.000Z,2024-12-20T03:59:14.704Z,13.12,Sev-B,Storage,How-To,High,Low,true,false,None,,,1,,2.6,0.7,4.3,8,false,false,false,0.35,15,15
CASE-100406,2024-07-19T05:00:00.000Z,2024-07-29T11:31:03.291Z,10.27,Sev-B,Data Platform,Feature Gap,Medium,Low,false,false,CaseHealth,Closure,1.4,6,true,4.6,0.94,5,8,false,false,false,0.74,21,67
CASE-100407,2025-03-04T03:00:00.000Z,2025-03-16T19:41:08.181Z,12.7,Sev-C,Compute,How-To,Medium,Low,false,false,Routing,Closure,8.2,4,true,5.2,0.93,3.9,12,false,false,false,0.34,14,76
